ICAO,Frequency,Latitude,Longitude,Type
FAAB,000.000,S028.34.23.941,E016.32.03.609,D
FAAE,000.000,S032.28.00.000,E024.04.00.000,D
FAAF,000.000,S034.46.00.000,E020.02.13.999,D
FAAG,000.000,S029.16.45.001,E018.49.02.999,D
FAAN,000.000,S030.40.59.998,E026.43.59.998,D
FAAP,000.000,S025.41.38.000,E027.46.56.999,D
FABA,000.000,S025.58.00.001,E028.22.59.998,D
FABB,000.000,S026.14.34.411,E028.18.02.818,D
FABD,000.000,S030.58.59.998,E026.18.00.000,D
FABE,000.000,S032.53.42.000,E027.17.06.000,D
FABF,000.000,S030.58.00.000,E027.36.15.000,D
FABK,000.000,S032.02.05.999,E019.02.36.600,D
FABL,000.000,S029.05.37.640,E026.18.14.270,D
FABM,000.000,S028.14.54.999,E028.20.09.999,D
FABR,000.000,S025.43.00.728,E030.58.30.646,D
FABS,000.000,S025.31.56.999,E027.46.32.998,D
FABW,000.000,S032.17.59.999,E022.40.00.001,D
FACD,000.000,S032.09.24.121,E025.38.44.157,D
FACE,000.000,S033.19.09.999,E019.25.19.999,D
FACF,000.000,S034.11.15.849,E024.49.54.850,D
FACI,000.000,S032.37.03.714,E019.00.19.438,D
FACN,000.000,S030.59.30.001,E022.07.59.998,D
FACO,000.000,S029.55.59.519,E022.15.56.671,D
FACT,000.000,S033.58.16.928,E018.36.15.451,D
FACV,000.000,S031.30.01.000,E019.43.32.998,D
FADA,000.000,S030.41.29.511,E024.01.27.130,D
FADB,000.000,S024.48.25.999,E026.49.46.999,D
FADL,000.000,S026.40.59.998,E025.28.00.001,D
FADO,000.000,S023.22.50.001,E029.19.14.998,D
FAEC,000.000,S029.02.49.999,E029.54.38.311,D
FAEL,000.000,S033.02.06.428,E027.49.16.859,D
FAEM,000.000,S028.43.05.998,E031.53.33.561,D
FAEO,000.000,S026.30.00.000,E029.58.59.998,D
FAFB,000.000,S028.49.29.999,E027.54.29.998,D
FAFO,000.000,S032.47.26.818,E026.34.38.589,D
FAFW,000.000,S025.28.37.999,E028.17.23.999,D
FAGC,000.000,S025.59.13.441,E028.08.25.969,D
FAGG,000.000,S034.00.24.130,E022.22.27.411,D
FAGL,000.000,S025.11.12.361,E029.24.11.851,D
