Identifier,Latitude,Longitude
15THR,S028.37.01.221,E016.26.45.211
17VOR,S017.53.12.188,E031.08.21.040
18THR,S022.57.55.040,E014.41.38.371
2010S,S020.00.00.000,E010.00.00.000
2020S,S020.00.00.000,E020.00.00.000
20VOR,S025.25.21.151,E027.06.01.969
2340S,S023.00.00.000,E040.00.00.000
23LOC,S029.34.13.220,E031.09.19.339
23THR,S029.39.20.260,E031.04.51.959
24LOC,S029.39.17.121,E031.04.54.699
24NM,S015.40.38.139,E035.01.14.858
2540S,S025.00.00.000,E040.00.00.000
25THR,S028.32.08.620,E016.26.49.970
2640S,S026.00.00.000,E040.00.00.000
30THR,S015.14.12.699,E012.12.17.179
30VOR,S025.58.59.239,E027.52.22.760
30VOR,S029.05.14.859,E030.37.25.521
30VOR,S015.14.02.338,E012.12.45.370
32VOR,S029.39.05.439,E031.05.04.459
33NM,S015.40.21.889,E035.07.24.139
33THR,S025.59.07.238,E027.52.12.788
38LOC,S015.19.25.769,E028.22.19.059
3NM,S024.41.21.749,E025.45.43.358
40VOR,S025.26.57.271,E027.04.42.160
42VOR,S022.57.28.371,E014.42.56.901
50TH2,S029.21.38.581,E027.35.03.271
50THR,S029.31.55.160,E031.11.19.381
50THR,S029.32.54.700,E027.31.40.310
55VOR,S029.03.23.050,E030.39.20.001
ABAPU,S017.49.38.359,E019.02.01.589
ABFNV,S021.00.50.709,E026.52.20.460
ABVCL,S015.36.21.898,E034.55.20.668
AGRAM,S018.00.04.021,E021.39.58.330
AKUTA,S023.33.00.000,E026.07.59.998
ALDOV,S030.37.12.000,E015.00.00.000
ALENI,S026.58.35.540,E032.09.37.889
ALKAT,S033.11.00.538,E025.51.07.430
ANGOS,S022.27.21.330,E016.59.35.901
ANIXU,S026.30.20.131,E027.07.38.661
ANSUT,S024.49.41.998,E032.58.45.998
ANSUX,S023.46.11.611,E014.54.22.100
ANTAT,S023.36.16.999,E036.48.50.000
ANTAV,S022.40.32.109,E017.22.29.780
ANTEM,S024.38.48.001,E033.17.17.998
ANTEP,S024.00.00.000,E013.36.03.999
ANTES,S036.51.00.000,E010.00.00.000
ANTIL,S028.30.22.759,E016.48.20.048
ANTOG,S022.01.11.999,E028.22.12.000
ANTOM,S029.49.59.998,E015.00.00.000
ANTOR,S023.04.44.551,E020.00.00.000
ANVAG,S017.23.30.120,E015.49.22.080
ANVAK,S025.40.20.708,E031.59.50.229
ANVAR,S028.00.09.000,E014.33.44.449
ANVED,S031.09.39.470,E033.06.34.628
ANVIT,S024.40.00.001,E030.22.59.998
ANVIV,S019.23.35.998,E035.01.12.000
ANVOV,S019.58.00.001,E035.16.12.000
ANVUS,S015.28.12.000,E030.44.05.999
APDAK,S026.33.03.538,E029.02.52.641
APDEL,S015.00.00.100,E028.41.43.699
APDEM,S023.39.08.618,E017.12.34.739
APDOB,S025.15.06.001,E032.28.09.998
APDOG,S030.05.22.930,E030.00.12.740
APDOR,S019.59.45.970,E025.20.49.920
APDOV,S024.42.18.799,E019.59.59.179
APDUN,S020.14.36.999,E024.14.07.000
APDUR,S028.19.19.649,E025.23.12.800
APGAP,S028.17.11.468,E031.19.46.858
APGAR,S020.44.34.000,E023.46.28.999
APGAS,S026.33.00.899,E015.50.00.700
APGEK,S021.57.04.978,E014.17.55.100
APGIB,S023.34.35.399,E018.10.08.569
APGID,S019.29.53.001,E031.22.24.999
APGIS,S017.14.12.001,E025.11.12.001
APGUD,S032.24.47.019,E024.28.11.578
APKAN,S020.45.26.708,E021.38.10.748
APKAP,S033.59.18.931,E020.41.31.628
APKAS,S034.08.40.880,E025.18.25.801
APKEK,S030.31.39.169,E020.10.15.319
APKER,S017.44.50.701,E026.01.15.200
APKIK,S028.19.49.540,E030.34.33.160
APKIM,S017.43.14.098,E025.38.31.498
APKIN,S034.05.00.639,E017.00.59.320
APKOM,S017.50.22.700,E026.05.27.099
APKOV,S025.22.30.601,E025.10.55.261
APKOX,S015.19.05.001,E028.12.26.600
APKUV,S034.00.10.058,E019.11.46.449
APLAB,S019.49.14.998,E035.00.15.001
APLAP,S025.01.41.998,E033.47.53.998
APLAR,S025.06.41.000,E036.32.35.001
APLAT,S015.19.15.898,E028.20.39.199
APLEN,S030.45.38.768,E022.01.19.801
APLIN,S023.02.30.440,E014.22.53.389
APLIP,S031.29.17.170,E029.23.12.749
APLIS,S018.12.50.000,E031.43.28.999
APLUK,S028.52.13.000,E034.25.32.001
APMAK,S028.28.49.760,E025.31.55.210
APMAT,S028.47.23.780,E030.56.59.629
APMAV,S020.22.59.998,E034.56.35.998
APMET,S023.42.28.079,E026.26.44.879
APMEX,S020.12.36.000,E021.09.47.879
APMIN,S028.00.38.451,E025.51.28.051
APMIT,S017.36.53.999,E026.01.48.000
APMUD,S020.10.54.001,E034.43.18.001
APMUL,S031.17.47.378,E028.07.18.591
APMUN,S019.50.48.001,E035.06.24.001
APMUX,S024.34.35.590,E029.31.24.488
APNAV,S026.52.21.190,E015.16.39.118
APNEX,S021.18.34.999,E027.53.40.999
APNIN,S022.01.11.999,E017.24.47.998
APNON,S026.45.37.861,E030.46.52.791
APNOP,S021.07.19.919,E021.57.12.960
APNUL,S022.36.56.998,E017.10.31.000
APNUP,S025.39.26.989,E031.17.35.080
APRAS,S015.33.33.800,E028.10.54.998
APRAX,S028.00.31.669,E026.25.08.119
APREG,S015.13.58.000,E028.40.05.401
APREK,S019.45.00.000,E035.07.59.998
APREV,S020.25.12.000,E027.01.48.000
APRIB,S019.41.42.000,E026.14.03.840
ASONI,S029.19.59.998,E010.00.00.000
ASPIK,S034.06.18.320,E018.08.00.808
ATUDI,S033.54.41.281,E022.03.30.481
ATUKU,S021.10.32.761,E026.50.18.160
ATULA,S023.35.31.041,E024.08.36.330
ATULI,S015.18.45.201,E028.14.43.598
ATUPI,S023.10.13.738,E017.07.55.401
ATUPO,S015.21.21.700,E028.46.19.999
ATUSI,S024.31.23.998,E032.18.42.001
ATUSO,S017.48.09.799,E025.32.34.799
ATUXO,S027.59.35.969,E027.52.07.269
AVAGA,S019.24.44.179,E033.24.22.708
AVAGO,S025.43.09.901,E027.26.39.361
AVAMO,S015.55.28.999,E027.48.47.998
AVANA,S037.00.00.000,E026.00.00.000
AVARA,S023.47.19.179,E024.03.34.999
AVAVA,S026.54.56.318,E029.27.10.108
AVEBO,S018.30.15.001,E032.17.54.999
AVESI,S024.29.41.989,E022.41.39.998
AVEXA,S032.38.36.268,E023.22.45.080
AVEXU,S019.35.35.998,E034.28.47.999
AVIDU,S017.55.18.001,E026.00.29.498
AVILO,S026.58.54.688,E028.43.15.621
AVIPU,S017.56.05.999,E022.28.47.989
AVIRA,S015.20.55.798,E028.39.35.798
AVITI,S019.53.11.248,E023.37.46.520
AVITO,S017.51.47.998,E037.43.11.999
AVIVA,S015.40.05.001,E029.56.59.999
AVIXU,S019.20.08.588,E033.30.04.838
AVOGU,S020.01.07.669,E021.00.00.878
AVOKI,S017.48.32.799,E025.38.07.501
AVONI,S015.37.59.998,E022.52.00.001
AVORO,S017.50.00.499,E025.59.54.599
AVOSA,S025.13.50.001,E032.40.36.998
AVOSI,S017.06.30.999,E032.14.49.999
AVUBU,S028.22.42.790,E026.32.17.998
AVULA,S023.56.23.758,E023.59.39.508
AVUNU,S019.50.30.001,E034.40.54.001
AVUSA,S027.29.55.100,E022.13.30.089
AVUSO,S029.57.02.019,E030.33.17.089
AXADO,S015.18.50.601,E028.06.36.799
AXALI,S017.48.53.701,E025.43.16.201
AXALU,S034.05.08.181,E024.57.55.681
AXAMA,S017.49.40.101,E025.54.50.198
AXATI,S017.49.16.039,E025.54.03.801
AXEMO,S023.17.53.998,E034.23.24.000
AXEMU,S034.12.11.610,E021.24.00.410
AXEVA,S027.39.58.489,E029.41.32.121
AXIBO,S017.31.36.001,E035.40.05.998
AXIKO,S019.57.05.000,E026.48.16.999
AXILA,S019.05.36.999,E031.18.32.000
AXISA,S019.56.30.001,E035.04.47.999
AXIVO,S024.34.59.998,E033.04.00.001
AXODO,S022.42.57.211,E018.19.36.530
AXOGA,S015.38.57.598,E028.43.50.800
AXOPA,S033.17.42.259,E019.58.33.409
AXOSO,S017.59.23.999,E026.02.35.998
AXOXI,S032.12.15.598,E027.54.04.319
AXULO,S016.30.54.000,E028.53.06.000
BEBAS,S027.49.18.479,E029.36.54.691
BEREA,S029.20.50.211,E027.35.23.020
BL001,S029.00.12.351,E026.18.10.911
BL1F1,S029.11.27.398,E026.18.06.278
BL1MP,S029.06.18.280,E026.18.08.380
BL1T1,S029.16.28.149,E026.18.04.208
BL2F1,S029.00.06.289,E026.18.11.008
BL2MP,S029.04.55.041,E026.18.08.971
BL2T1,S028.55.05.519,E026.18.13.140
BONAL,S019.18.24.688,E026.05.04.761
BONDY,S024.44.00.589,E025.47.17.350
BOPAN,S022.24.11.998,E020.00.00.000
BUGRO,S017.50.12.069,E022.26.01.409
BUXIR,S032.00.00.000,E015.00.00.000
C03RW,S026.22.12.590,E028.11.04.441
CD01,S034.08.02.738,E018.38.23.701
CD02,S029.14.00.959,E026.18.59.648
CD02,S026.33.17.650,E031.43.14.408
CD05,S025.32.27.718,E030.57.47.019
CD05,S018.01.39.039,E030.59.49.340
CD06Z,S029.47.56.101,E030.56.14.899
CD07Y,S026.03.25.840,E027.47.05.938
CD07Z,S026.05.12.418,E027.44.59.099
CD10,S017.50.50.510,E025.36.48.751
CD10,S015.18.48.059,E028.14.56.918
CD23,S025.11.46.201,E031.12.36.730
CD24Z,S029.24.12.319,E031.16.02.031
CD26,S033.54.43.369,E025.44.01.359
CD26Y,S024.27.35.618,E026.07.01.110
CD28,S017.52.52.258,E026.01.01.520
CD28,S015.20.53.869,E028.39.41.400
CF06Y,S029.48.32.000,E030.56.50.049
CF06Z,S029.48.22.438,E030.56.58.419
CF1F1,S034.11.41.359,E024.46.13.018
CF1T1,S034.12.17.319,E024.41.26.930
CF24Y,S029.26.09.448,E031.16.19.419
CF24Z,S029.25.02.359,E031.17.17.570
CF26Z,S022.23.57.321,E017.38.44.588
CF2F1,S034.10.41.660,E024.54.04.658
CF2T1,S034.10.05.221,E024.58.50.570
CH500,S019.14.43.900,E033.25.14.599
CH600,S019.04.43.600,E033.26.06.410
CH601,S019.05.08.149,E033.31.22.119
CI01,S034.09.49.669,E018.39.53.330
CI03L,S026.16.01.531,E028.11.48.800
CI03R,S026.20.11.338,E028.11.41.499
CI05Y,S025.34.58.799,E030.57.21.420
CI05Z,S025.32.39.469,E030.59.05.909
CI07,S026.38.04.480,E031.09.04.118
CI07Z,S026.04.55.469,E027.45.15.260
CI08,S034.05.16.468,E025.25.04.371
CI08Y,S024.38.54.038,E025.43.46.840
CI10,S015.18.50.601,E028.16.09.800
CI11,S034.01.04.000,E021.58.12.129
CI11Z,S033.03.40.849,E027.36.26.888
CI13,S019.58.25.780,E028.31.19.300
CI19,S033.44.44.610,E018.31.56.240
CI21L,S025.57.45.691,E028.18.38.098
CI21R,S025.54.36.489,E028.18.26.470
CI22,S029.18.23.011,E027.36.03.081
CI23,S025.47.36.301,E032.39.01.501
CI26Z,S033.55.14.840,E025.44.27.380
CI29,S033.00.35.881,E028.02.22.441
CI29,S033.59.28.640,E022.47.06.680
CN10Y,S015.18.42.908,E028.14.00.999
CN10Z,S015.18.58.759,E028.17.06.540
CN28Y,S015.20.58.109,E028.40.14.620
CN28Z,S015.20.42.449,E028.37.09.040
COOEE,S022.44.46.399,E017.30.10.990
CS05,S018.02.00.690,E030.59.27.459
CSV,S033.15.08.269,E019.26.17.221
CT1F1,S034.04.08.860,E018.38.05.009
