Identifier,Frequency,Latitude,Longitude
BI,233.000,S020.59.51.298,E031.33.54.399
BZ,284.000,S018.04.02.319,E031.20.21.429
CH,282.000,S019.06.13.860,E033.25.58.609
CP,414.000,S017.45.05.000,E030.55.35.900
CV,387.000,S015.10.00.001,E019.08.59.999
CZ,250.000,S020.57.49.899,E031.31.19.300
DW,300.000,S016.31.37.801,E028.49.25.399
FRW,375.000,S021.09.51.530,E027.29.16.018
FY,290.000,S018.07.12.000,E029.52.30.000
GBE,311.000,S024.31.04.868,E025.59.38.979
IL,226.000,S020.00.38.300,E028.36.09.100
IN,400.000,S023.52.30.000,E035.24.18.000
KAS,287.000,S017.49.22.868,E025.09.23.400
KB,399.000,S016.30.52.099,E028.53.08.901
KU,363.000,S017.31.28.300,E031.15.28.249
LE,325.000,S015.20.16.141,E028.31.59.631
LW,386.000,S015.19.25.078,E028.22.15.780
LY,235.000,S015.29.35.998,E028.14.37.978
LZ,308.000,S017.49.11.431,E025.47.40.088
ME,255.000,S029.25.11.629,E027.33.56.638
MG,391.000,S015.12.51.598,E023.09.22.798
MR,215.000,S029.35.33.000,E027.29.35.998
MS,317.000,S020.00.36.698,E030.50.37.899
MS,262.500,S026.30.37.771,E031.20.03.660
MT,260.000,S018.30.28.000,E025.54.26.999
MU,317.000,S029.18.09.370,E027.30.20.318
MU,405.000,S018.56.21.998,E032.39.33.998
MW,408.000,S026.37.27.890,E031.09.57.351
NZ,373.000,S017.53.43.079,E030.41.05.639
OL,346.000,S017.59.39.379,E031.01.39.241
OM,240.000,S026.34.27.548,E031.14.23.999
OR,295.000,S021.16.05.998,E025.18.08.999
PO,377.000,S018.39.54.298,E026.55.44.601
RC,385.000,S018.56.05.999,E029.48.16.999
SI,330.000,S017.57.13.561,E031.04.11.611
SO,290.000,S015.34.56.600,E032.45.56.998
SP,303.000,S022.03.09.180,E027.49.11.571
SZ,242.000,S020.17.58.999,E028.56.35.998
TO,268.000,S019.23.11.000,E029.47.20.000
TP,341.000,S020.32.12.001,E028.30.10.000
VI,353.000,S020.02.42.000,E030.51.20.199
VL,370.000,S021.58.42.171,E035.17.37.971
WN,393.000,S018.38.28.600,E026.59.28.701
WO,205.000,S019.59.17.901,E028.33.14.101
YT,235.000,S019.40.27.998,E028.50.52.000
