Runway1,Runway2,Heading1,Heading2,Lat1,Lon1,Lat2,Lon2,Airport
05,23,053,233,S025.20.37.370,E027.09.54.860,S025.19.25.989,E027.10.54.029,FAPN
16,34,168,348,S029.38.36.351,E030.23.37.759,S029.39.15.728,E030.24.12.938,FAPM
16,34,000,000,S027.21.33.591,E031.36.11.131,S027.21.50.029,E031.36.28.681,FAPL
16,34,160,340,S029.40.24.200,E022.45.49.111,S029.41.07.378,E022.46.18.660,FAPK
08,26,078,258,S023.55.51.628,E029.28.29.031,S023.55.15.999,E029.29.38.461,FAPI
01,19,010,190,S023.56.32.578,E031.09.24.080,S023.55.48.201,E031.09.19.051,FAPH
12,30,127,307,S034.05.14.409,E023.19.21.021,S034.05.20.911,E023.20.08.851,FAPG
15,33,153,333,S026.59.41.758,E030.50.07.101,S027.00.12.981,E030.50.43.648,FAPF
17,35,174,354,S033.59.01.809,E025.36.58.629,S033.59.46.780,E025.37.35.511,FAPE
08,26,086,266,S033.59.37.888,E025.36.00.000,S033.59.03.930,E025.37.05.570,FAPE
18,36,183,003,S033.33.10.609,E026.52.50.710,S033.33.32.119,E026.53.01.381,FAPA
10R,28L,101,281,S033.33.23.079,E026.52.29.809,S033.33.12.610,E026.53.16.090,FAPA
10L,28R,101,281,S033.33.19.641,E026.52.14.728,S033.33.05.810,E026.53.16.400,FAPA
10C,28C,101,281,S033.33.20.221,E026.52.28.549,S033.33.09.720,E026.53.17.840,FAPA
07,25,072,252,S033.33.31.071,E026.52.48.691,S033.33.06.739,E026.53.18.488,FAPA
03R,21L,034,214,S026.09.53.168,E028.14.53.221,S026.08.06.640,E028.15.26.200,FAOR
03L,21R,034,214,S026.08.47.108,E028.14.03.620,S026.06.42.861,E028.14.42.089,FAOR
18,36,180,360,S026.02.00.999,E027.35.36.949,S026.02.36.380,E027.35.51.669,FAOI
04,22,037,217,S033.36.51.991,E022.11.13.070,S033.35.58.138,E022.11.27.650,FAOH
17,35,172,352,S034.33.15.429,E020.14.59.578,S034.34.38.071,E020.16.11.549,FAOB
