Identifier,Frequency,Latitude,Longitude
ABV,112.100,S028.34.14.350,E016.32.01.798
AGV,116.700,S029.28.51.668,E018.33.44.971
BLV,114.100,S029.06.02.379,E026.18.02.311
CDV,114.900,S034.06.46.681,E019.28.40.389
CTV,115.700,S033.58.10.819,E018.36.18.190
CZV,114.300,S025.41.23.319,E028.33.02.959
DFN,112.900,S024.53.15.540,E033.45.15.728
DPV,112.200,S025.39.21.301,E028.13.12.270
ELV,114.500,S033.02.13.160,E027.49.23.361
ERV,116.300,S023.37.30.788,E027.57.51.699
FNV,113.000,S021.08.05.521,E027.25.33.499
GAV,115.500,S026.30.53.629,E027.40.35.169
GBV,113.700,S024.35.51.770,E025.49.56.841
GFV,115.700,S019.36.17.701,E018.07.06.999
GRV,116.600,S034.00.26.460,E022.22.33.459
GSV,114.000,S024.33.03.999,E025.55.18.001
GYV,113.500,S029.07.28.988,E030.35.08.048
HGV,116.700,S026.41.48.501,E028.16.59.390
HMV,113.400,S031.36.21.178,E025.50.38.400
HSV,114.000,S024.20.49.930,E031.02.51.388
JSV,115.200,S026.09.25.628,E028.13.51.700
KAV,113.300,S017.49.59.408,E025.10.06.830
KGV,115.100,S023.40.46.970,E022.49.11.578
KTV,112.900,S026.32.14.690,E018.06.49.100
KYV,113.200,S028.47.59.819,E024.45.37.321
LIV,117.400,S025.56.56.140,E027.54.48.859
LTV,115.000,S023.09.30.711,E029.41.11.180
LWV,117.000,S032.58.58.281,E018.09.49.939
LYV,116.500,S028.36.16.210,E029.41.40.318
LZV,115.600,S026.40.57.201,E015.14.48.231
MAV,112.700,S019.58.56.060,E023.24.12.891
MMV,112.900,S025.49.33.229,E025.32.06.201
MZV,117.200,S029.30.01.378,E027.32.26.271
NVV,116.100,S031.22.47.999,E019.04.15.999
OAV,116.300,S017.52.42.999,E015.56.53.001
OBV,115.400,S034.33.22.028,E020.14.49.700
PEV,112.900,S033.59.33.010,E025.36.20.750
PHV,115.300,S023.54.02.728,E031.09.07.088
PJV,115.900,S031.36.31.960,E029.31.11.488
PKV,112.500,S025.22.51.690,E031.06.40.050
PMV,117.900,S029.38.52.130,E030.24.01.281
PNV,112.600,S025.23.45.031,E027.07.21.741
PPV,114.500,S023.50.23.348,E029.27.38.041
PVV,112.700,S030.21.58.410,E024.41.42.061
RAV,117.700,S026.14.43.389,E028.09.16.261
RBV,113.000,S028.44.26.491,E032.05.36.909
SLV,113.300,S032.27.00.000,E020.37.20.999
SSV,113.600,S027.39.07.829,E023.00.10.990
STV,116.000,S026.41.48.188,E028.52.02.859
SVV,113.000,S033.14.57.649,E018.28.42.200
TGV,115.600,S029.36.40.201,E031.07.29.031
UL,115.400,S028.18.54.201,E031.25.14.001
UPV,116.500,S028.24.06.310,E021.15.37.479
VBR,113.700,S019.47.13.891,E034.52.15.938
VBU,115.700,S020.01.44.601,E028.38.37.899
VCL,113.300,S015.40.20.999,E034.54.59.000
VFA,116.700,S018.05.24.129,E025.48.51.598
VGO,113.700,S018.14.39.998,E028.58.10.999
VHA,113.100,S017.54.25.858,E031.07.06.740
VLI,112.500,S017.48.45.370,E025.49.12.068
VLS,113.500,S015.19.40.821,E028.25.15.398
VMA,112.700,S025.52.07.701,E032.36.15.598
VMG,115.300,S015.15.09.838,E023.11.25.619
VMO,114.100,S015.15.12.999,E012.09.53.999
VMS,112.300,S026.30.45.820,E031.19.24.621
VMV,115.100,S020.03.24.400,E030.51.12.999
VNP,113.900,S015.05.18.999,E039.17.58.999
VQL,112.300,S017.50.35.131,E036.52.02.481
VSK,117.100,S026.22.45.901,E031.43.02.150
VTL,114.300,S019.26.21.001,E029.51.29.998
VTZ,114.100,S016.07.32.001,E033.38.23.240
VWN,114.500,S018.38.25.501,E026.59.36.600
VWV,113.700,S031.23.48.998,E023.06.32.000
WBV,113.600,S022.58.55.588,E014.38.40.480
WHV,114.500,S022.28.38.521,E017.28.14.070
WIV,113.300,S025.49.46.290,E029.11.41.128
WKV,116.900,S025.50.00.038,E028.13.13.310
WMV,116.400,S028.00.05.738,E026.39.40.129
WRV,112.800,S027.46.29.258,E029.04.10.099
